brandDrugName,originalDrugName,drugName,drugId,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,diseaseClass,reviewType,yearApproval
Xofluza,Baloxavir marboxil,BALOXAVIRMARBOXIL,CHEMBL4297503,Shionogi/Roche,Polymerase acidic endonuclease inhibitor,No human target,Acute uncomplicated influenza,influenza,EFO_0007328,Not serious,P,2018
Xospata,Gilteritinib,GILTERITINIB,CHEMBL3301622,Astellas,FLT3 inhibitor,Oncology,FLT3-positive AML,acute myeloid leukemia,EFO_0000222,Serious,"P,O,B,F",2018
Yupelri,Revefenacin,REVEFENACIN,CHEMBL3833319,Theravance Biopharma/Mylan,Long-acting muscarinic receptor antagonist,Other indication,COPD,chronic obstructive pulmonary disease,EFO_0000341,Serious,S,2018
Zemdri,Plazomicin,PLAZOMICIN,CHEMBL1650559,Achaogen,Aminoglycoside antibacterial,No human target,Urinary tract infections,urinary tract infection,EFO_0003103,Not serious,P,2018
Accrufer,Ferric maltol,FERRICMALTOL,CHEMBL4298110,Shield Therapeutics,Iron replacement product,No human target,Iron deficiency anaemia,iron deficiency anemia,HP_0001891,Not serious,S,2019
Adakveo,Crizanlizumab,CRIZANLIZUMAB,CHEMBL4297734,Novartis,P-selectin blocker,Other indication,Painful complications of SCD,sickle cell disease and related diseases,MONDO_0017146,Serious,"P,O,B",2019
Aklief,Trifarotene,TRIFAROTENE,CHEMBL3707313,Galderma,Retinoic acid receptor agonist,Other indication,Acne vulgaris,acne,EFO_0003894,Not serious,S,2019
Balversa,Erdafitinib,ERDAFITINIB,CHEMBL3545376,Janssen /J&J,FGFR inhibitor,Oncology,Bladder cancer,urinary bladder carcinoma,MONDO_0004986,Serious,"P,B,A",2019
Beovu,Brolucizumab,BROLUCIZUMAB,CHEMBL3707357,Novartis,VEGF inhibitor,Other indication,Wet age-related macular degeneration,macular degeneration,EFO_0009606,Not concordant,S,2019
Brukinsa,Zanubrutinib,ZANUBRUTINIB,CHEMBL3936761,BeiGene,BTK inhibitor,Oncology,Mantle cell lymphoma,mantle cell lymphoma,EFO_1001469,Serious,"P,O,B,A,F",2019
Cablivi,Caplacizumab,CAPLACIZUMAB,CHEMBL2109624,Sanofi/Ablynx,vWF-directed nanobody,Other indication,ATTP,thrombotic thrombocytopenic purpura,MONDO_0018896,Serious,"P,O,F",2019
Caplyta,Lumateperone,LUMATEPERONE,CHEMBL3306803,Intra-Cellular Therapies,Atypical antipsychotic,Other indication,Schizophrenia,schizophrenia,MONDO_0005090,Not concordant,"S,F",2019
Dayvigo,Lemborexant,LEMBOREXANT,CHEMBL3545367,Eisai,Orexin receptor antagonist,Other indication,Insomnia,insomnia,EFO_0004698,Not serious,S,2019
Egaten,Triclabendazole,TRICLABENDAZOLE,CHEMBL1086440,Novartis,Anthelmintic,No human target,Fascioliasis,fascioliasis,EFO_1001324,Not concordant,"P,O,F",2019
Enhertu,Trastuzumab deruxtecan,TRASTUZUMABDERUXTECAN,CHEMBL4297844,Daiichi Sankyo/AstraZeneca,HER2-directed ADC,Oncology,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Serious,"P,B,A,F",2019
Evenity,Romosozumab,ROMOSOZUMAB,CHEMBL2107874,Amgen,Sclerostin inhibitor,Other indication,Osteoporosis,osteoporosis,EFO_0003882,Not serious,S,2019
ExEm Foam,Air polymer-type A,AIRPOLYMER-TYPEA,CHEMBL4594264,Giskit,Ultrasound contrast agent,No human target,Assess fallopian tube patency in women with known or suspected infertility,infertility,EFO_0000545,Not serious,S,2019
Fetroja,Cefiderocol,CEFIDEROCOL,CHEMBL3989974,Shionogi,Cephalosporin antibacterial,No human target,Complicated urinary tract infections,urinary tract infection,EFO_0003103,Not serious,"P,F",2019
Fluorodopa F-18,Fluorodopa F-18,FLUORODOPAF-18,CHEMBL3400972,Feinstein Institutes,Radioactive diagnostic,No human target,Diagnosis of parkinsonian syndromes,Parkinson disease,MONDO_0005180,Serious,S,2019
Gallium dotatoc Ga-68,Gallium dotatoc Ga-68,GALLIUMDOTATOCGA-68,CHEMBL4297340,UIHC PET Imaging Center,Radioactive diagnostic,Other indication,Localization of somatostatin receptor-positive neuroendocrine tumours,neuroendocrine neoplasm,EFO_1001901,Serious,"S,O",2019
Givlaari,Givosiran,GIVOSIRAN,CHEMBL4297760,Alnylam,ALAS1-directed siRNA,Other indication,Acute hepatic porphyria,acute hepatic porphyria,Orphanet_95157,Serious,"P,O,B",2019
Ibsrela,Tenapanor,TENAPANOR,CHEMBL3304485,Ardelyx,NHE3 inhibitor,Other indication,IBS with constipation,irritable bowel syndrome,EFO_0000555,Not serious,S,2019
Inrebic,Fedratinib,FEDRATINIB,CHEMBL1287853,Celgene/BMS,JAK2 and FLT3 inhibitor,Other indication,Myelofibrosis,myelofibrosis,MONDO_0044903,Serious,"P,O",2019
Jeuveau,Prabotulinumtoxin A,PRABOTULINUMTOXINA,CHEMBL4297229,Evolus,Acetylcholine release inhibitor and a neuromuscular blocking agent,Other indication,Glabellar lines associated with corrugator and/or procerus muscle activity,Facial wrinkling,HP_0009762,Not serious,S,2019
Mayzent,Siponimod,SIPONIMOD,CHEMBL2336071,Novartis,S1P receptor modulator,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Serious,S,2019
Nourianz,Istradefylline,ISTRADEFYLLINE,CHEMBL431770,Kyowa Kirin,Adenosine receptor antagonist,Other indication,Parkinson disease episodes,Parkinson disease,MONDO_0005180,Serious,S,2019
Nubeqa,Darolutamide,DAROLUTAMIDE,CHEMBL4297185,Bayer,Androgen receptor inhibitor,Oncology,Prostate cancer,prostate cancer,MONDO_0008315,Serious,"P,F",2019
Oxbryta,Voxelotor,VOXELOTOR,CHEMBL4101807,Global Blood Therapeutics,Haemoglobin S polymerization inhibitor,Other indication,SCD (sickle cell disease),sickle cell anemia,MONDO_0011382,Serious,"P,O,B,A,F",2019
Padcev,Enfortumab vedotin,ENFORTUMABVEDOTIN,CHEMBL3301589,Astellas,Nectin-4-directed ADC,Oncology,Urothelial cancers,urothelial neoplasm,MONDO_0024337,Serious,"P,B,A",2019
Piqray,Alpelisib,ALPELISIB,CHEMBL2396661,Novartis,PI3K inhibitor,Oncology,Breast cancer,breast cancer,MONDO_0007254,Serious,P,2019
Polivy,Polatuzumab vedotin,POLATUZUMABVEDOTIN,CHEMBL3301582,Roche,CD79b-directed ADC,Oncology,Diffuse large B-cell lymphoma,diffuse large b-cell lymphoma,EFO_0000403,Serious,"P,O,B,A",2019
Pretomanid,Pretomanid,PRETOMANID,CHEMBL227875,Pfizer/Mylan,Antimycobacterial,No human target,Tuberculosis,tuberculosis,MONDO_0018076,Serious,"P,O,F",2019
Reblozyl,Luspatercept,LUSPATERCEPT,CHEMBL3039545,Celgene/BMS,Erythroid maturation agent,Other indication,Anaemia in beta-thalassaemia,beta thalassemia; anemia,"MONDO_0019402,MONDO_0002280",Serious,"P,O,F",2019
Recarbrio,"Cilastatin, imipenem, relebactam","CILASTATIN,IMIPENEM,RELEBACTAM","CHEMBL766,CHEMBL148,CHEMBL3301605",Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor",No human target,Complicated urinary tract and complicated intra-abdominal infections,urinary tract infection,EFO_0003103,Not serious,"P,F",2019
Reyvow,Lasmiditan,LASMIDITAN,CHEMBL3039520,Eli Lilly,Serotonin (5-HT) 1F receptor agonist,Other indication,Migraine with or without aura,migraine disorder,MONDO_0005277,Not serious,S,2019
Rinvoq,Upadacitinib,UPADACITINIB,CHEMBL3622821,AbbVie,JAK inhibitor,Other indication,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Serious,S,2019
Rozlytrek,Entrectinib,ENTRECTINIB,CHEMBL1983268,Roche,"TRKA, TRKB, TRKC, ROS1 and ALK inhibitor",Oncology,NTRK fusion-positive solid tumours and ROS1-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2019
Scenesse,Afamelanotide,AFAMELANOTIDE,CHEMBL441738,Clinuvel,Melanocortin 1 receptor agonist,Other indication,Erythropoietic protoporphyria,erythropoietic protoporphyria,MONDO_0001676,Serious,"P,O,F",2019
Skyrizi,Risankizumab,RISANKIZUMAB,CHEMBL3990029,AbbVie,IL-23 antagonist,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2019
Sunosi,Solriamfetol,SOLRIAMFETOL,CHEMBL4297620,Jazz,Dopamine and noradrenaline reuptake inhibitor,No human target,Excessive sleepiness due to narcolepsy or obstructive sleep apnoea,hypersomnia; narcolepsy; obstructive sleep apnea,"EFO_0005246,MONDO_0021107,EFO_0003918",Serious,"S,O",2019
Tissueblue,Brilliant Blue G,BRILLIANTBLUEG,CHEMBL4173394,Dutch Ophthalmic Research,Brilliant Blue G dye,No human target,Staining the internal limiting membrane,NA,NA,NA,"P,O",2019
Trikafta,"Tezacaftor, elexacaftor, ivacaftor","TEZACAFTOR,ELEXACAFTOR,IVACAFTOR","CHEMBL3544914,CHEMBL4298128,CHEMBL2010601",Vertex,Two CFTR correctors and a CFTR potentiator,Other indication,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,MONDO_0009061,Serious,"P,O,B,F",2019
Turalio,Pexidartinib,PEXIDARTINIB,CHEMBL3813873,Daiichi Sankyo,"CSF1R, KIT and FLT3 inhibitor",Oncology,Tenosynovial giant cell tumour,Tenosynovial Giant Cell Tumor,EFO_1000562,Serious,"P,O,B",2019
Ubrelvy,Ubrogepant,UBROGEPANT,CHEMBL2364638,Allergan,CGRP receptor antagonist,Other indication,Migraine with or without aura,migraine disorder,MONDO_0005277,Not serious,S,2019
Vyleesi,Bremelanotide,BREMELANOTIDE,CHEMBL2070241,Amag,Melanocortin receptor agonist,Other indication,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,Not serious,S,2019
Vyndaqel,Tafamidis,TAFAMIDIS,CHEMBL2103837,Pfizer/Foldrx,Transthyretin stabilizer,Other indication,Heart disease caused by ATTR-CM,cardiomyopathy,EFO_0000318,Serious,"P,O,B,F",2019
Vyondys 53,Golodirsen,GOLODIRSEN,CHEMBL4297762,Sarepta,Exon 53 skipping antisense,Other indication,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO_0010679,Serious,"P,O,A,F",2019
Wakix,Pitolisant,PITOLISANT,CHEMBL462605,Harmony,H3-receptor antagonist/inverse agonist,Other indication,Excessive sleepiness due to narcolepsy,narcolepsy,MONDO_0021107,Serious,"P,O,F",2019
Xcopri,Cenobamate,CENOBAMATE,CHEMBL3989949,SK Life Science,Unknown,Other indication,Partial onset seizures,seizure,HP_0001250,Not concordant,S,2019
Xenleta,Lefamulin,LEFAMULIN,CHEMBL3291398,Nabriva,Pleuromutilin antibacterial,No human target,CABP,bacterial pneumonia,EFO_1001272,Serious,"P,F",2019
Xpovio,Selinexor,SELINEXOR,CHEMBL3545185,Karyopharm Therapeutics,XPO1 inhibitor,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,A,F",2019
Zulresso,Brexanolone,BREXANOLONE,CHEMBL207538,Sage Therapeutics,GABAA-receptor-positive modulator,Other indication,Postpartum depression,postpartum depression,EFO_0007453,Not concordant,"P,B",2019
Artesunate,Artesunate,ARTESUNATE,CHEMBL361497,Amivas,Artemisinin antimalarial,No human target,Serious malaria,malaria,EFO_0001068,Serious,"P,O,B,F",2020
Ayvakit,Avapritinib,AVAPRITINIB,CHEMBL4204794,Blueprint Medicines,"PDGFRA, PDGFRA mutants and KIT kinase inhibitor",Oncology,GIST with PDGFRA exon 18 mutations,gastrointestinal stromal tumor,MONDO_0011719,Serious,"P,O,B,F",2020
Barhemsys,Amisulpride,AMISULPRIDE,CHEMBL243712,Acacia,Dopamine receptors D2 & D3 antagonist,Other indication,Nausea and vomiting after surgery,Nausea and vomiting,HP_0002017,Not serious,S,2020
Blenrep,Belantamab mafodotin,BELANTAMABMAFODOTIN,CHEMBL4298209,GlaxoSmithKline,"BCMA-directed ADC, with microtubule inhibitor",Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,B,A",2020
Byfavo,Remimazolam,REMIMAZOLAM,CHEMBL4297526,Acacia,Benzodiazepine,Other indication,Procedural sedation,sedation,EFO_0009868,Not serious,S,2020
Copper dotatate Cu-64,Copper dotatate Cu-64,COPPERDOTATATECU-64,CHEMBL4297339,Radiomedix,Radioactive diagnostic,Other indication,"Imaging, cancer",neuroendocrine neoplasm,EFO_1001901,Serious,"P,O,F",2020
Danyelza,Naxitamab,NAXITAMAB,CHEMBL4297984,Y-mAbs Therapeutics,GD2-directed mAb,NA,High-risk neuroblastoma,neuroblastoma,EFO_0000621,Serious,"P,O,B,A",2020
Dojolvi,Triheptanoin,TRIHEPTANOIN,CHEMBL4297585,Ultragenyx,Medium-chain triglyceride,No human target,LC-FAODs,inherited fatty acid metabolism disorder,MONDO_0037858,Serious,"S,O,F",2020
Ebanga,Ansuvimab,ANSUVIMAB,CHEMBL4594388,Ridgeback,Ebola glycoprotein-directed mAb,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Serious,"P,O,B",2020
Enspryng,Satralizumab,SATRALIZUMAB,CHEMBL3833307,Roche/Genentech,IL-6R-directed mAb,Other indication,NMOSD,neuromyelitis optica,EFO_0004256,Serious,"S,O,B,F",2020
Evrysdi,Risdiplam,RISDIPLAM,CHEMBL4297528,Roche/Genentech,SMN2 splicing modifier,Other indication,Spinal muscular atrophy,spinal muscular atrophy,EFO_0008525,Serious,"P,O,F",2020
Flortaucipir F-18,Flortaucipir F-18,FLORTAUCIPIRF-18,CHEMBL3545253,Eli Lilly,Radioactive diagnostic,Other indication,"Imaging, tau in Alzheimer disease",Alzheimer disease,MONDO_0004975,Serious,P,2020
Fluoroestradiol F-18,Fluoroestradiol F-18,FLUOROESTRADIOLF-18,CHEMBL4594261,Zionexa,Radioactive diagnostic,Other indication,"Imaging, breast cancer",breast carcinoma,EFO_0000305,Serious,S,2020
Gavreto,Pralsetinib,PRALSETINIB,CHEMBL4582651,Blueprint Medicines/Roche,RET kinase inhibitor,Oncology,RET fusion-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2020
Gemtesa,Vibegron,VIBEGRON,CHEMBL2107826,Urovant Sciences,Beta-3 adrenergic receptor agonist,Other indication,Overactive bladder,overactive bladder,EFO_1000781,Not serious,S,2020
Imcivree,Setmelanotide,SETMELANOTIDE,CHEMBL3301624,Rhythm,Melanocortin receptor 4 agonist,Other indication,Rare genetic diseases of obesity,Bardet-Biedl syndrome,MONDO_0015229,Serious,"P,O,B",2020
Inmazeb,"Atoltivimab, odesivimab, maftivimab","ATOLTIVIMAB,ODESIVIMAB,MAFTIVIMAB","CHEMBL4298183,CHEMBL4298188,CHEMBL4298184",Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Serious,"P,O,B",2020
Inqovi,"Cedazuridine, decitabine","CEDAZURIDINE,DECITABINE","CHEMBL3237547,CHEMBL1201129",Otsuka,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Other indication,Myelodysplastic syndromes,myelodysplastic syndrome,EFO_0000198,Serious,"P,O",2020
Isturisa,Osilodrostat,OSILODROSTAT,CHEMBL3099695,Recordati Rare Diseases,Cortisol synthesis inhibitor,Other indication,Cushing disease,Cushing syndrome,EFO_0003099,Not concordant,"S,O",2020
Klisyri,Tirbanibulin,TIRBANIBULIN,CHEMBL571546,Athenex,Microtubule inhibitor,Other indication,Actinic keratosis,actinic keratosis,EFO_0002496,Not serious,S,2020
Koselugo,Selumetinib,SELUMETINIB,CHEMBL1614701,AstraZeneca,MEK1/2 kinase inhibitor,Other indication,Neurofibromatosis type 1,neurofibromatosis type 1,MONDO_0018975,Serious,"P,O,B",2020
Lampit,Nifurtimox,NIFURTIMOX,CHEMBL290960,Bayer,Nitrofuran antiprotozoal,No human target,Chagas disease,chagas disease,MONDO_0001444,Serious,"P,O,A",2020
Margenza,Margetuximab,MARGETUXIMAB,CHEMBL2364649,MacroGenics,HER2-directed mAb,Oncology,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Serious,"S,F",2020
Monjuvi,Tafasitamab,TAFASITAMAB,CHEMBL4298047,MorphoSys,CD19-directed mAb,Oncology,DLBCL,diffuse large b-cell lymphoma,EFO_0000403,Serious,"P,O,B,A,F",2020
Nexletol,Bempedoic acid,BEMPEDOICACID,CHEMBL3545313,Esperion Therapeutics,ACL inhibitor,Other indication,HeFH or atherosclerotic cardiovascular disease,atherosclerosis; familial hypercholesterolemia,"EFO_0003914,EFO_0004911",Serious,S,2020
Nurtec ODT,Rimegepant,RIMEGEPANT,CHEMBL2178422,Biohaven,CGRP receptor antagonist,Other indication,Migraine,migraine disorder,MONDO_0005277,Not serious,S,2020
Olinvyk,Oliceridine,OLICERIDINE,CHEMBL2443262,Trevena,Opioid receptor agonist,Other indication,Acute pain,pain,EFO_0003843,Not serious,"S,F",2020
Ongentys,Opicapone,OPICAPONE,CHEMBL1089318,Neurocrine,COMT inhibitor,Other indication,Parkinson disease,parkinson disease,MONDO_0005180,Serious,S,2020
Orgovyx,Relugolix,RELUGOLIX,CHEMBL1800159,Myovant Sciences,GnRH receptor antagonist,Oncology,Prostate cancer,prostate cancer,MONDO_0008315,Serious,P,2020
Orladeyo,Berotralstatc,BEROTRALSTAT,CHEMBL4594271,BioCryst,Plasma kallikrein inhibitor,#N/A,Hereditary angioedema,hereditary angioedema,MONDO_0019623,Serious,"S,O,F",2020
Oxlumo,Lumasiran,LUMASIRAN,CHEMBL4297779,Alnylam,HAO1-directed siRNA,Other indication,Hyperoxaluria type 1,primary hyperoxaluria type 1,MONDO_0009823,Serious,"P,O,B",2020
Pemazyre,Pemigatinib,PEMIGATINIB,CHEMBL4297522,Incyte,FGFR1-3 kinase inhibitor,Oncology,Cholangiocarcinoma,cholangiocarcinoma,EFO_0005221,Serious,"P,O,B,A",2020
Pizensy,Lactitol,LACTITOL,CHEMBL1661,Braintree Labs,Osmotic laxative,No human target,Chronic idiopathic constipation,Chronic constipation,HP_0012450,Not serious,S,2020
PSMA-11 Ga-68,PSMA-11 Ga-68,PSMA-11GA-68,CHEMBL4297335,UCLA,Radioactive diagnostic,Other indication,"Imaging, prostate cancer",prostate carcinoma,EFO_0001663,Serious,S,2020
Qinlock,Ripretinib,RIPRETINIB,CHEMBL4216467,Deciphera,KIT and PDGFRA kinase inhibitor,Oncology,GIST,gastrointestinal stromal tumor,MONDO_0011719,Serious,"P,O,B,F",2020
Retevmo,Selpercatinib,SELPERCATINIB,CHEMBL4559134,Eli Lilly/Loxo Oncology,RET kinase inhibitor,Oncology,RET fusion-positive NSCLC and thyroid cancer,non-small cell lung carcinoma; thyroid cancer,"EFO_0003060,MONDO_0002108",Serious,"P,O,B,A",2020
Rukobia,Fostemsavir,FOSTEMSAVIR,CHEMBL3301594,ViiV Healthcare,Attachment inhibitor,No human target,HIV,hiv infection,EFO_0000764,Serious,"P,B,F",2020
Sarclisa,Isatuximab,ISATUXIMAB,CHEMBL3545131,Sanofi,CD38-directed mAb,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"S,O",2020
Sogroya,Somapacitan,SOMAPACITAN,CHEMBL3707290,Novo Nordisk,Growth hormone analogue,Other indication,Growth hormone deficiency,short stature due to partial GHR deficiency,MONDO_0011420,Not serious,S,2020
Tabrecta,Capmatinib,CAPMATINIB,CHEMBL3188267,Novartis,MET kinase inhibitor,Oncology,NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2020
Tazverik,Tazemetostat,TAZEMETOSTAT,CHEMBL3414621,Epizyme,EZH2 inhibitor,Oncology,Epithelioid sarcoma,epithelioid sarcoma,MONDO_0017387,Serious,"P,O,A,F",2020
Tepezza,Teprotumumab,TEPROTUMUMAB,CHEMBL1743079,Horizon Therapeutics,IGF1R-directed mAb,Other indication,Thyroid eye disease,Graves disease,EFO_0004237,Not concordant,"P,O,B,F",2020
Trodelvy,Sacituzumab govitecan,SACITUZUMABGOVITECAN,CHEMBL3545262,Immunomedics/Gilead,"TROP2-directed ADC, with topoisomerase inhibitor",Oncology,Triple-negative breast cancer (and advanced or metastatic urothelial cancer (mUC)*),triple-negative breast cancer; urothelial carcinoma,"EFO_0005537,EFO_0008528",Serious,"P,B,A,F",2020
Tukysa,Tucatinib,TUCATINIB,CHEMBL3989868,Seagen,HER2 kinase inhibitor,Oncology,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Serious,"P,O,B,F",2020
Uplizna,Inebilizumab,INEBILIZUMAB,CHEMBL2109334,Viela Bio,CD19-directed mAb,Other indication,NMOSD,neuromyelitis optica,EFO_0004256,Serious,"S,O,B",2020
Veklury,Remdesivir,REMDESIVIR,CHEMBL4065616,Gilead,Nucleotide analogue RNA polymerase inhibitor,No human target,COVID-19,covid-19,MONDO_0100096,Serious,"P,F",2020
Viltepso,Viltolarsen,VILTOLARSEN,CHEMBL4298062,Nippon Shinyaku,Dystrophin splicing modifier,Other indication,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO_0010679,Serious,"P,O,A,F",2020
Vyepti,Eptinezumab,EPTINEZUMAB,CHEMBL3833320,Lundbeck,CGRP-directed mAb,Other indication,Migraine,migraine disorder,MONDO_0005277,Not serious,S,2020
Winlevi,Clascoterone,CLASCOTERONE,CHEMBL3590187,Cassiopea SpA,Androgen receptor inhibitor,Other indication,Acne vulgaris,acne,EFO_0003894,Not serious,S,2020
Xeglyze,Abametapir,ABAMETAPIR,CHEMBL2205807,Dr Reddy‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂¬¨‚Ä¢s,Metalloproteinase inhibitor,No human target,Head lice,lice infestation,MONDO_0003472,Not serious,S,2020
Zeposia,Ozanimod,OZANIMOD,CHEMBL3707247,Celgene/Bristol Myers Squibb,S1P receptor modulator,Other indication,Multiple sclerosis,multiple sclerosis,MONDO_0005301,Serious,S,2020
Zepzelca,Lurbinectedin,LURBINECTEDIN,CHEMBL4297516,Jazz,Alkylating drug,NA,Small-cell lung cancer,small cell lung carcinoma,EFO_0000702,Serious,"P,O,A",2020
Zokinvy,Lonafarnib,LONAFARNIB,CHEMBL298734,Eiger,Farnesyltransferase inhibitor,Other indication,HGPS,hutchinson-gilford progeria syndrome,MONDO_0008310,Serious,"P,O,B",2020
Adbry,Tralokinumab,Tralokinumab,CHEMBL1743081,LEO Pharma,IL-13-targeted mAb,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,Not serious,S,2021
Aduhelm,Aducanumab,Aducanumab,CHEMBL3039540,Biogen/Eisai,Amyloid-beta-targeted mAb,Other indication,Alzheimers disease,Alzheimers disease,MONDO_0004975,Serious,"P,A,F",2021
Amondys 45,Casimersen,Casimersen,CHEMBL4297566,Sarepta,Exon 45-skipping ASO,Other indication,DMD,Duchenne muscular dystrophy,MONDO_0010679,Serious,"P,O,A,F",2021
Azstarys,"Dexmethylphenidate, serdexmethylphenidate","Dexmethylphenidate,serdexmethylphenidate","CHEMBL827,CHEMBL4301162",Commave Therapeutics,CNS stimulant,Other indication,ADHD,attention deficit hyperactivity disorder,EFO_0003888,Not serious,S,2021
Besremi,Ropeginterferon alfa-2b,Ropeginterferonalfa-2b,CHEMBL4297819,Pharmaessentia,PEGylated interferon alpha-2b,Oncology,Polycythaemia vera,polycythemia vera,EFO_0002429,Serious,"S,O",2021
Brexafemme,Ibrexafungerp,Ibrexafungerp,CHEMBL4297513,Scynexis,Triterpenoid antifungal,No human target,Vulvovaginal candidiasis,NA,NA,NA,"P,F",2021
Bylvay,Odevixibat,Odevixibat,CHEMBL4297588,Albireo,IBAT inhibitor,Other indication,Pruritus in PFIC,familial intrahepatic cholestasis,MONDO_0017290,Serious,"P,O,F",2021
Cabenuva Kit,"Cabotegravir, rilpivirine","Cabotegravir,rilpivirine","CHEMBL2403238,CHEMBL175691",ViiV,INSTI and an NNRTI,No human target,HIV-1 infection,NA,NA,NA,"P,F",2021
Cosela,Trilaciclib,Trilaciclib,CHEMBL3894860,G1 Therapeutics,CDK4 and CDK6 kinase inhibitor,Oncology,Chemotherapy-induced myelosuppression,myelosuppression; small cell lung carcinoma,"EFO_0007053,EFO_0000702",Serious,"P,B",2021
Cytalux,Pafolacianine,Pafolacianine,CHEMBL4297412,On Target Labs,Fluorescent FR imaging agent,Other indication,Ovarian cancer imaging,ovarian carcinoma,EFO_0001075,Serious,"P,O,F",2021
Empaveli,Pegcetacoplan,Pegcetacoplan,CHEMBL4298211,Apellis,Complement protein C3 inhibitor,Other indication,PNH,paroxysmal nocturnal hemoglobinuria,MONDO_0100244,Serious,"P,O,F",2021
Evkeeza,Evinacumab,Evinacumab,CHEMBL3545191,Regeneron,ANGPTL3-targeted mAb,Other indication,HoFH,homozygous familial hypercholesterolemia,MONDO_0018328,Serious,"P,O,B",2021
Exkivity,Mobocertinib,Mobocertinib,CHEMBL4650319,Takeda,EGFR kinase inhibitor,Oncology,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A,F",2021
Fexinidazole,Fexinidazole,Fexinidazole,CHEMBL1631694,Sanofi/DNDi,Nitroimidazole antimicrobial,No human target,Sleeping sickness,NA,NA,NA,"P,O",2021
Fotivda,Tivozanib,Tivozanib,CHEMBL1289494,Aveo,VEGFR kinase inhibitor,Oncology,Renal cell carcinoma,renal cell carcinoma,EFO_0000681,Serious,S,2021
Jemperli,Dostarlimab,Dostarlimab,CHEMBL4298124,GlaxoSmithKline,PD1-targeted mAb,Oncology,Endometrial cancer,endometrial cancer,MONDO_0011962,Serious,"P,B,A",2021
Kerendia,Finerenone,Finerenone,CHEMBL2181927,Bayer,Non-steroidal MR antagonist,Other indication,CKD with type 2 diabetes,chronic kidney disease,EFO_0003884,Serious,"P,F",2021
Korsuva,Difelikefalin,Difelikefalin,CHEMBL3989915,Cara Therapeutics,kappa-Opioid receptor agonist,Other indication,Pruritus associated with CKD,chronic kidney disease,EFO_0003884,Serious,"P,B",2021
Leqvio,Inclisiran,Inclisiran,CHEMBL3990033,Novartis/Alnylam,PCSK9-targeted siRNA,Other indication,HeFH or ASCVD,coronary atherosclerosis,MONDO_0021661,Serious,S,2021
Livmarli,Maralixibat,Maralixibat,CHEMBL363392,Mirum,IBAT inhibitor,Other indication,Pruritus in Alagille syndrome,Alagille syndrome,MONDO_0007318,Serious,"P,O,B",2021
Livtencity,Maribavir,Maribavir,CHEMBL515408,Takeda,CMV pUL97 kinase inhibitor,No human target,Post-transplant CMV infection,NA,NA,NA,"P,O,B",2021
Lumakras,Sotorasib,Sotorasib,CHEMBL4535757,Amgen,KRAS-G12C inhibitor,Oncology,KRASG12C-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A,F",2021
Lupkynis,Voclosporin,Voclosporin,CHEMBL2218919,Aurinia,Calcineurin inhibitor,Other indication,Lupus nephritis,lupus nephritis,EFO_0005761,Serious,"P,F",2021
Lybalvi,"Olanzapine, samidorphan","samidorphan,Olanzapine","CHEMBL426084,CHEMBL715",Alkermes,Atypical antipsychotic and opioid antagonist,Other indication,Schizophrenia and bipolar I disorder,Schizophrenia; bipolar I disorder,"MONDO_0005090,EFO_0009963",Serious,S,2021
