"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Why_no_GE","Related_indication_MoA","Related_DiseaseId_targetIds"
"Brexafemme","Ibrexafungerp","Ibrexafungerp","Scynexis","CHEMBL4297513","Triterpenoid antifungal","Vulvovaginal candidiasis",NA,NA,"Infectious","P",2021,"",NA,NA,NA,NA
"Aduhelm","Aducanumab","Aducanumab","Biogen/Eisai","CHEMBL3039540","Amyloid-beta-targeted mAb","Alzheimers disease","Alzheimers disease","MONDO_0004975","Other","P, A",2021,"ENSG00000142192",TRUE,NA,NA,NA
"Rylaze","Asparaginase erwinia chrysanthemi","Asparaginase erwinia chrysanthemi","Jazz","CHEMBL1863514","Recombinant asparagine-specific enzyme","ALL and LBL, in patients allergic to E. coli-derived products","acute lymphoblastic leukemia; lymphoblastic lymphoma","EFO_0000220; MONDO_0000873","Oncology","S, O",2021,"",NA,NA,NA,NA
"Kerendia","Finerenone","Finerenone","Bayer","CHEMBL2181927","Non-steroidal MR antagonist","CKD with type 2 diabetes","chronic kidney disease","EFO_0003884","Other","P",2021,"ENSG00000151623",TRUE,NA,NA,NA
"Fexinidazole","Fexinidazole","Fexinidazole","Sanofi/DNDi","CHEMBL1631694","Nitroimidazole antimicrobial","Sleeping sickness",NA,NA,"Infectious","P, O",2021,"",NA,NA,NA,NA
"Rezurock","Belumosudil","Belumosudil","Kadmon","CHEMBL2005186","ROCK2 kinase inhibitor","Chronic GVHD","graft versus host disease","MONDO_0013730","Other","P, O, B",2021,"ENSG00000134318; ENSG00000067900",FALSE,NA,"immune system disease","EFO_0000540"
"Bylvay","Odevixibat","Odevixibat","Albireo","CHEMBL4297588","IBAT inhibitor","Pruritus in PFIC","familial intrahepatic cholestasis","MONDO_0017290","Other","P, O",2021,"ENSG00000125255",TRUE,NA,NA,NA
"Saphnelo","Anifrolumab","Anifrolumab","AstraZeneca","CHEMBL2364653","IFNAR-targeted mAb","SLE","systemic lupus erythematosus","MONDO_0007915","Other","S",2021,"ENSG00000142166",TRUE,NA,NA,NA
"Nexviazyme","Avalglucosidase alfa","Avalglucosidase alfa","Sanofi","CHEMBL4594320","Recombinant alpha-glucosidase","Pompe disease","glycogen storage disease II","MONDO_0009290","Other","P, O, B",2021,"ENSG00000171298",TRUE,NA,NA,NA
"Welireg","Belzutifan","Belzutifan","Merck & Co.","CHEMBL4585668","HIF-2alpha inhibitor","von Hippel-Lindau disease","von Hippel-Lindau disease","MONDO_0008667","Oncology","P, O",2021,"ENSG00000116016",TRUE,NA,NA,NA
"Korsuva","Difelikefalin","Difelikefalin","Cara Therapeutics","CHEMBL3989915","kappa-Opioid receptor agonist","Pruritus associated with CKD","chronic kidney disease","EFO_0003884","Other","P, B",2021,"ENSG00000082556",FALSE,NA,NA,NA
"Skytrofa","Lonapegsomatropin","Lonapegsomatropin","Ascendis Pharma","CHEMBL4298185","PEGylated human growth hormone","Growth failure due to GHD","Growth delay","HP_0001510","Other","S, O",2021,"ENSG00000112964",TRUE,NA,NA,NA
"Exkivity","Mobocertinib","Mobocertinib","Takeda","CHEMBL4650319","EGFR kinase inhibitor","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2021,"ENSG00000146648",TRUE,NA,NA,NA
"Tivdak","Tisotumab vedotin","Tisotumab vedotin","Seagen/Genmab","CHEMBL4297841","Tissue-factor-directed ADC","Cervical cancer","cervical cancer","MONDO_0002974","Oncology","P, A",2021,"ENSG00000167552; ENSG00000258947; ENSG00000137267; ENSG00000188229; ENSG00000176014; ENSG00000261456; ENSG00000123416; ENSG00000198033; ENSG00000196230; ENSG00000167553; ENSG00000152086; ENSG00000117525; ENSG00000104833; ENSG00000137285; ENSG00000101162; ENSG00000127824",TRUE,NA,NA,NA
"Qulipta","Atogepant","Atogepant","AbbVie","CHEMBL3991065","CGRP receptor antagonist","Episodic migraine","migraine disorder","MONDO_0005277","Other","S",2021,"ENSG00000064989",TRUE,NA,NA,NA
"Livmarli","Maralixibat","Maralixibat","Mirum","CHEMBL363392","IBAT inhibitor","Pruritus in Alagille syndrome","Alagille syndrome","MONDO_0007318","Other","P, O, B",2021,"ENSG00000125255",TRUE,NA,NA,NA
"Tavneos","Avacopan","Avacopan","ChemoCentryx","CHEMBL3989871","Complement 5a receptor antagonist","ANCA-associated vasculitis","Anti-neutrophil cytoplasmic antibody-associated vasculitis","MONDO_0015492","Cardiovascular","S, O",2021,"ENSG00000197405",FALSE,NA,NA,NA
"Scemblix","Asciminib","Asciminib","Novartis","CHEMBL4208229","ABL/BCR-ABL1  kinase inhibitor","Ph+ CML","Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive","EFO_1000131","Oncology","P, O, B, A",2021,"ENSG00000097007",TRUE,NA,NA,NA
"Besremi","Ropeginterferon alfa-2b","Ropeginterferon alfa-2b","Pharmaessentia","CHEMBL4297819","PEGylated interferon alpha-2b","Polycythaemia vera","polycythemia vera","EFO_0002429","Oncology","S, O",2021,"ENSG00000142166; ENSG00000159110",TRUE,NA,NA,NA
"Voxzogo","Vosoritide","Vosoritide","Biomarin","CHEMBL3707276","CNP analogue","Achondroplasia","achondroplasia","MONDO_0007037","Other","P, O, A",2021,"ENSG00000159899",TRUE,NA,NA,NA
"Livtencity","Maribavir","Maribavir","Takeda","CHEMBL515408","CMV pUL97 kinase inhibitor","Post-transplant CMV infection",NA,NA,"Infectious","P, O, B",2021,"",NA,NA,NA,NA
"Cytalux","Pafolacianine","Pafolacianine","On Target Labs","CHEMBL4297412","Fluorescent FR imaging agent","Ovarian cancer imaging",NA,NA,"Imaging","P, O",2021,"",NA,NA,NA,NA
"Vyvgart","Efgartigimod alfa","Efgartigimod alfa","Argenx","CHEMBL4297551","FcRn-binding Fc fragment","Myasthenia gravis","Myasthenia gravis","EFO_0004991","Other","S, O",2021,"ENSG00000104870",FALSE,NA,NA,NA
"Tezspire","Tezepelumab","Tezepelumab","Astrazeneca/Amgen","CHEMBL3707229","TSLP-targeted mAb","Severe asthma","asthma","MONDO_0004979","Respiratory","P",2021,"ENSG00000145777",TRUE,NA,NA,NA
"Leqvio","Inclisiran","Inclisiran","Novartis/Alnylam","CHEMBL3990033","PCSK9-targeted siRNA","HeFH or ASCVD","coronary atherosclerosis","MONDO_0021661","Cardiovascular","S",2021,"ENSG00000169174",TRUE,NA,NA,NA
"Adbry","Tralokinumab","Tralokinumab","LEO Pharma","CHEMBL1743081","IL-13-targeted mAb","Atopic dermatitis","atopic eczema","EFO_0000274","Dermatology","S",2021,"ENSG00000169194",TRUE,NA,NA,NA
"Cibinqo","Abrocitinib","Abrocitinib","Pfizer","CHEMBL3655081","JAK inhibitor","Atopic dermatitis","atopic eczema, Eczema","EFO_0000274; HP_0000964","Dermatology","P, B",2022,"ENSG00000162434; ENSG00000166888",TRUE,NA,NA,NA
"Krazati","Adagrasib","Adagrasib","Mirati","CHEMBL4594350","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","S, O, B, A",2022,"ENSG00000133703",TRUE,NA,NA,NA
"NexoBrid","Anacaulase","Anacaulase","Mediwound",NA,"Proteolytic enzymes from pineapple plants","Eschar removal after thermal burns",NA,NA,"Other","S, O",2022,"",NA,NA,NA,NA
"Quviviq","Daridorexant","Daridorexant","Idorsia","CHEMBL4297590","Orexin receptor antagonist","Insomnia","insomnia","EFO_0004698","Other","S",2022,"ENSG00000137252; ENSG00000121764",TRUE,NA,NA,NA
"Daxxify","DaxibotulinumtoxinA","DaxibotulinumtoxinA","Revance","CHEMBL3707359","Botulinum toxin","Glabellar lines","Facial wrinkling","HP_0009762","Other","S",2022,"ENSG00000132639",FALSE,NA,NA,NA
"Sotyktu","Deucravacitinib","Deucravacitinib","Bristol Myers Squibb","CHEMBL4435170","TYK2 inhibitor","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2022,"ENSG00000105397",TRUE,NA,NA,NA
"Rolvedon","Eflapegrastim","Eflapegrastim","Spectrum","CHEMBL3833384","Leukocyte growth factor","Incidence of infection in non-myeloid malignancies, with myelosuppressive drugs","infection","EFO_0000544","Infectious","S",2022,"ENSG00000119535",TRUE,NA,NA,NA
"Vabysmo","Faricimab","Faricimab","Roche/Genentech","CHEMBL4297750","VEGF _ ANG2 bispecific antibody","nAMD and DME","age-related macular degeneration","EFO_0001365","Ophthalmology","S",2022,"ENSG00000112715; ENSG00000091879",TRUE,NA,NA,NA
"Lytgobi","Futibatinib","Futibatinib","Taiho Oncology","CHEMBL3701238","FGFR kinase inhibitor","FGFR2-aberrant intrahepatic cholangiocarcinoma","intrahepatic cholangiocarcinoma","EFO_1001961","Oncology","P, O, B, A",2022,"ENSG00000068078; ENSG00000077782; ENSG00000160867; ENSG00000066468",TRUE,NA,NA,NA
"Elucirem","Gadopiclenol","Gadopiclenol","Guerbet","CHEMBL4297634","Gadolinium-based contrast agent","Lesions with abnormal vascularity",NA,NA,"Imaging","P",2022,"",NA,NA,NA,NA
"Ztalmy","Ganaxolone","Ganaxolone","Marinus","CHEMBL1568698","GABAA receptor positive allosteric modulator","Seizures associated with CDD","Epileptic encephalopathy","HP_0200134","Other","P, O",2022,"ENSG00000094755; ENSG00000163288; ENSG00000102287; ENSG00000166206; ENSG00000145863; ENSG00000022355; ENSG00000113327; ENSG00000187730; ENSG00000011677; ENSG00000268089; ENSG00000145864; ENSG00000151834; ENSG00000186297; ENSG00000182256; ENSG00000109158; ENSG00000163285",TRUE,NA,NA,NA
"Sunlenca","Lenacapavir","Lenacapavir","Gilead","CHEMBL4594438","HIV-1 capsid inhibitor","HIV-1 infection","HIV-1 infection","EFO_0000180","Infectious","P, B",2022,"",NA,NA,NA,NA
"Pluvicto","Lutetium Lu-177 vipivotide tetraxetan","Lutetium Lu-177 vipivotide tetraxetan","Novartis","CHEMBL4594406","PSMA-binding radioligand therapeutic agent","PSMA-positive prostate cancer","prostate carcinoma","EFO_0001663","Oncology","P, B",2022,"ENSG00000142515",TRUE,NA,NA,NA
"Camzyos","Mavacamten","Mavacamten","Bristol Myers Squibb","CHEMBL4297517","Cardiac myosin inhibitor","Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy)","hypertrophic cardiomyopathy","EFO_0000538","Cardiovascular","S, O, B",2022,"ENSG00000092054",TRUE,NA,NA,NA
"Elahere","Mirvetuximab soravtansine","Mirvetuximab soravtansine","ImmunoGen","CHEMBL3545132","FR_-targeted antibody-drug conjugate","Ovarian cancer","ovarian carcinoma","EFO_0001075","Oncology","P, O, A",2022,"ENSG00000127824; ENSG00000152086; ENSG00000110195; ENSG00000261456; ENSG00000101162; ENSG00000188229; ENSG00000104833; ENSG00000258947; ENSG00000123416; ENSG00000198033; ENSG00000167553; ENSG00000137285; ENSG00000167552; ENSG00000176014; ENSG00000137267; ENSG00000196230",TRUE,NA,NA,NA
"Pyrukynd","Mitapivat","Mitapivat","Agios","CHEMBL4299940","Pyruvate kinase activator","Haemolytic anaemia due to PK deficiency","hemolytic anemia","EFO_0005558","Other","P, O",2022,"ENSG00000143627",TRUE,NA,NA,NA
"Lunsumio","Mosunetuzumab","Mosunetuzumab","Roche/Genentech","CHEMBL4297788","CD20 _ CD3 bispecific antibody","Follicular lymphoma","follicular lymphoma","MONDO_0018906","Oncology","P, O, B, A",2022,"ENSG00000167286; ENSG00000156738; ENSG00000198851; ENSG00000160654",TRUE,NA,NA,NA
"Xenpozyme","Olipudase alfa","Olipudase alfa","Sanofi/Genzyme","CHEMBL3707358","Acid sphingomyelinase ERT","Acid sphingomyelinase deficiency","acid sphingomyelinase deficiency","MONDO_0100464","Other","P, O, B",2022,"ENSG00000166311",TRUE,NA,NA,NA
"Rezlidhia","Olutasidenib","Olutasidenib","Rigel/Forma","CHEMBL4297610","IDH1 inhibitor","IDH1-mutated AML","acute myeloid leukemia","EFO_0000222","Oncology","S, O",2022,"ENSG00000138413",TRUE,NA,NA,NA
"Omlonti","Omidenepag isopropyl","Omidenepag isopropyl","Santen","CHEMBL4297666","Prostaglandin E2 receptor agonist","Intraocular pressure in open-angle glaucoma or ocular hypertension","ocular hypertension, open-angle glaucoma","EFO_1001069; EFO_0004190","Ophthalmology","S",2022,"ENSG00000125384",FALSE,NA,NA,NA
"Vivjoa","Oteseconazole","Oteseconazole","Mycovia","CHEMBL3311228","Azole antifungal","Vulvovaginal candidiasis","vulvovaginal candidiasis","EFO_0007543","Infectious","P",2022,"",NA,NA,NA,NA
"Vonjo","Pacritinib","Pacritinib","CTI Biopharma","CHEMBL2035187","JAK2 inhibitor","Myelofibrosis","myelofibrosis","MONDO_0044903","Oncology","P, O, A",2022,"ENSG00000096968; ENSG00000122025",TRUE,NA,NA,NA
"Opdualag","Relatlimab; nivolumab","Relatlimab","Bristol Myers Squibb","CHEMBL3990044","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","melanoma","EFO_0000756","Oncology","P, O",2022,"ENSG00000089692",TRUE,NA,NA,NA
"Opdualag","Relatlimab; nivolumab","nivolumab","Bristol Myers Squibb","CHEMBL2108738","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","melanoma","EFO_0000756","Oncology","P, O",2022,"ENSG00000188389",TRUE,NA,NA,NA
"Relyvrio","Sodium phenylbutyrate; taurursodiol","Sodium phenylbutyrate","Amylyx","CHEMBL1746","Mechanism unknown","Amyotrophic lateral sclerosis","amyotrophic lateral sclerosis","MONDO_0004976","Other","P, O",2022,"",NA,NA,NA,NA
"Relyvrio","Sodium phenylbutyrate; taurursodiol","taurursodiol","Amylyx","CHEMBL272427","Mechanism unknown","Amyotrophic lateral sclerosis","amyotrophic lateral sclerosis","MONDO_0004976","Other","P, O",2022,"",NA,NA,NA,NA
"Spevigo","Spesolimab","Spesolimab","Boehringer Ingelheim","CHEMBL4297911","IL-36R-targeted mAb","Generalized pustular psoriasis flares","psoriasis 14, pustular","MONDO_0013626","Dermatology","P, O, B",2022,"ENSG00000115598; ENSG00000196083; ENSG00000136695",TRUE,NA,NA,NA
"Enjaymo","Sutimlimab","Sutimlimab","Bioverativ","CHEMBL4297832","C1s-targeted mAb","RBC transfusion due to haemolysis in CAD (cold agglutinin disease)","Anemia, Hemolytic, Autoimmune","EFO_1001264","Autoimmune","P, O, B",2022,"ENSG00000182326",FALSE,NA,NA,NA
"Vtama","Tapinarof","Tapinarof","Dermavant","CHEMBL259571","Aryl hydrocarbon receptor agonist","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2022,"ENSG00000106546",FALSE,NA,NA,NA
"Kimmtrak","Tebentafusp","Tebentafusp","Immunocore","CHEMBL4297990","gp100 peptide HLA _ CD3 bispecific T-cell engager","Uveal melanoma","Uveal Melanoma","EFO_1000616","Oncology","P, O, B",2022,"ENSG00000185664",FALSE,NA,NA,NA
"Tecvayli","Teclistamab","Teclistamab","J&J","CHEMBL4594505","BCMA _ CD3 bispecific antibody","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2022,"ENSG00000160654; ENSG00000198851; ENSG00000048462; ENSG00000167286",TRUE,NA,NA,NA
"Tzield","Teplizumab","Teplizumab","Provention Bio","CHEMBL1743078","CD3-targeted antibody","Delay onset of type 1 diabetes","type 1 diabetes mellitus","MONDO_0005147","Autoimmune","P, B",2022,"ENSG00000198851; ENSG00000081237; ENSG00000198821",TRUE,NA,NA,NA
"Terlivaz","Terlipressin","Terlipressin","Mallinckrodt","CHEMBL2135460","Vasopressin receptor agonist","Kidney function in hepatorenal syndrome","Hepatorenal syndrome","MONDO_0001382","Other","P, O",2022,"ENSG00000166148",FALSE,NA,NA,NA
"Mounjaro","Tirzepatide","Tirzepatide","Eli Lilly","CHEMBL4297839","GIP receptor and GLP1 receptor agonist","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148","Autoimmune","S",2022,"ENSG00000112164; ENSG00000010310",TRUE,NA,NA,NA
"Imjudo","Tremelimumab","Tremelimumab","AstraZeneca","CHEMBL2108658","CTLA4-targeted mAb","Hepatocellular carcinoma","hepatocellular carcinoma","EFO_0000182","Oncology","S, O",2022,"ENSG00000163599",TRUE,NA,NA,NA
"Briumvi","Ublituximab","Ublituximab","TG Therapeutics","CHEMBL2108354","CD20-targeted mAb","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929","Other","S",2022,"ENSG00000156738",FALSE,NA,NA,NA
"Voquezna Triple Pak","Vonoprazan; amoxicillin; clarithromycin","Vonoprazan","Phathom","CHEMBL2079130","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori infection","Helicobacter pylori infectious disease","EFO_1000961","Infectious","P",2022,"ENSG00000186009; ENSG00000105675",FALSE,NA,NA,NA
"Voquezna Triple Pak","Vonoprazan; amoxicillin; clarithromycin","amoxicillin","Phathom","CHEMBL1082","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori infection","Helicobacter pylori infectious disease","EFO_1000961","Infectious","P",2022,"",FALSE,NA,NA,NA
"Voquezna Triple Pak","Vonoprazan; amoxicillin; clarithromycin","clarithromycin","Phathom","CHEMBL1741","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori infection","Helicobacter pylori infectious disease","EFO_1000961","Infectious","P",2022,"",FALSE,NA,NA,NA
"Amvuttra","Vutrisiran","Vutrisiran","Alnylam","CHEMBL4594511","TTR-targeted siRNA","Polyneuropathy of hereditary TTR-mediated amyloidosis","familial amyloid neuropathy","EFO_0004129","Other","S, O",2022,"ENSG00000118271",TRUE,NA,NA,NA
"Xenoview","Xenon Xe 129 hyperpolarized","Xenon Xe 129 hyperpolarized","Polarean","CHEMBL4594411","Hyperpolarized contrast agent","MRI-evaluation of lung ventilation",NA,NA,"Imaging","S",2022,"",NA,NA,NA,NA
"Trulance","Plecanatide","PLECANATIDE","Synergy Pharmaceuticals","CHEMBL2103867","Guanylate cyclase C agonist","Chronic idiopathic constipation","Chronic constipation","HP_0012450","Gastrointestinal","S",2017,"ENSG00000070019",NA,"Unknown",NA,NA
"Parsabiv","Etelcalcetide","VELCALCETIDE","Amgen/Kai Pharmaceuticals","CHEMBL3545184","Calcium-sensing receptor agonist","Secondary hyperparathyroidism in patients with chronic kidney disease on haemodialysis","hyperparathyroidism","EFO_0008506","Nephrology","S",2017,"ENSG00000036828",NA,NA,NA,NA
"Emflaza","Deflazacort","DEFLAZACORT","PTC Therapeutics","CHEMBL1201891","Corticosteroid","Duchenne muscular dystrophy","Duchenne muscular dystrophy","MONDO_0010679","Neurological","P, O",2017,"ENSG00000113580",NA,"Unknown",NA,NA
"Siliq","Brodalumab","BRODALUMAB","Valeant Pharmaceuticals","CHEMBL1742996","IL-17RA antagonist","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2017,"ENSG00000177663",NA,NA,NA,NA
"Xermelo","Telotristat etiprate","TELOTRISTAT ETIPRATE","Lexicon Pharmaceuticals","CHEMBL3348963","Tryptophan hydroxylase inhibitor","Carcinoid syndrome diarrhoea","carcinoid syndrome; Diarrhea","EFO_1000852; HP_0002014","Gastrointestinal","P, O",2017,"ENSG00000129167; ENSG00000139287",NA,"Unknown, cohort problem",NA,NA
"Kisqali","Ribociclib","RIBOCICLIB","Novartis","CHEMBL3545110","CDK4/6 inhibitor","HR-positive, HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P, B",2017,"ENSG00000105810; ENSG00000135446",NA,NA,NA,NA
"Xadago","Safinamide","SAFINAMIDE","US WorldMeds","CHEMBL396778","MAO-B inhibitor","Parkinson disease","Parkinson disease","MONDO_0005180","Neurological","S",2017,"ENSG00000069535",NA,NA,NA,NA
"Symproic","Naldemedine","NALDEMEDINE","Shionogi","CHEMBL2105755","Opioid antagonist","Opioid-induced constipation","Constipation","HP_0002019","Gastrointestinal","S",2017,"ENSG00000112038",NA,"Cohort problem",NA,NA
"Bavencio","Avelumab","AVELUMAB","Merck KGaA/Pfizer","CHEMBL3833373","PDL1-blocking antibody","Merkel cell carcinoma","Merkel cell skin cancer","EFO_1001471","Oncology","P, O, B, A",2017,"ENSG00000120217",NA,NA,NA,NA
"Zejula","Niraparib","NIRAPARIB","Tesaro","CHEMBL1094636","PARP inhibitor","Epithelial ovarian, fallopian tube or primary peritoneal cancer","fallopian tube cancer; ovarian epithelial tumor; primary peritoneal carcinoma","MONDO_0002158; MONDO_0002229; MONDO_0015686","Oncology","P, O, B",2017,"ENSG00000143799; ENSG00000129484",NA,NA,NA,NA
"Ocrevus","Ocrelizumab","OCRELIZUMAB","Roche/Genentech","CHEMBL2108041","CD20-directed cytolytic antibody","Relapsing or primary progressive forms of multiple sclerosis","chronic progressive multiple sclerosis","EFO_0003840","Neurological","P, B",2017,"ENSG00000156738",NA,"Unknown",NA,NA
"Dupixent","Dupilumab","DUPILUMAB","Regeneron/Sanofi","CHEMBL2108675","IL-4RŒ± antagonist","Atopic dermatitis","atopic eczema","EFO_0000274","Dermatology","P, B",2017,"ENSG00000077238",NA,NA,NA,NA
"Austedo","Deutetrabenazine","DUTETRABENAZINE","Teva","CHEMBL3137326","VMAT2 inhibitor","Chorea associated with Huntington disease","chorea; Huntington disease","EFO_0004152; MONDO_0007739","Neurological","S, O",2017,"ENSG00000165646",NA,NA,NA,NA
"Ingrezza","Valbenazine","VALBENAZINE","Neurocrine Biosciences","CHEMBL2364639","VMAT2 inhibitor","Tardive dyskinesia","movement disorder","EFO_0004280","Neurological/Psychiatric","P, B",2017,"ENSG00000165646",NA,NA,NA,NA
"Brineura","Cerliponase alfa","CERLIPONASE ALFA","BioMarin Pharmaceutical","CHEMBL3544921","Tripeptidyl peptidase","Tripeptidyl peptidase 1 deficiency (neuronal ceroid lipofuscinosis type 2*)","neuronal ceroid lipofuscinosis 2","MONDO_0008769","Neurological","P, O, B",2017,"ENSG00000166340",NA,NA,NA,NA
"Rydapt","Midostaurin","MIDOSTAURIN","Novartis","CHEMBL608533","FLT3 inhibitor","FLT3-positive AML","acute myeloid leukemia, FLT3 internal tandem duplication","MONDO_0100415","Oncology","P, O, B",2017,"ENSG00000128052; ENSG00000163932; ENSG00000115825; ENSG00000166501; ENSG00000171132; ENSG00000122025; ENSG00000163558; ENSG00000184304; ENSG00000065675; ENSG00000126583; ENSG00000027075; ENSG00000157404; ENSG00000134853; ENSG00000113721; ENSG00000067606; ENSG00000154229",NA,NA,NA,NA
"Tymlos","Abaloparatide","ABALOPARATIDE","Radius Health","CHEMBL3301581","Parathyroid hormone-related protein","Osteoporosis","osteoporosis","EFO_0003882","Endocrine","S",2017,"ENSG00000160801",NA,NA,NA,NA
"Alunbrig","Brigatinib","BRIGATINIB","Ariad Pharmaceuticals/Takeda","CHEMBL3545311","ALK inhibitor","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2017,"ENSG00000171094; ENSG00000146648",NA,NA,NA,NA
"Imfinzi","Durvalumab","DURVALUMAB","AstraZeneca","CHEMBL3301587","PDL1-blocking antibody","Urothelial carcinoma","urothelial carcinoma","EFO_0008528","Oncology","P, B, A",2017,"ENSG00000120217",NA,NA,NA,NA
"Radicava","Edaravone","EDARAVONE","Mitsubishi Tanabe","CHEMBL290916","Unknown (radical scavenger)","ALS (amyotrophic lateral sclerosis)","amyotrophic lateral sclerosis","MONDO_0004976","Neurological","S, O",2017,"",NA,NA,NA,NA
"Kevzara","Sarilumab","SARILUMAB","Sanofi/Regeneron","CHEMBL2108730","IL-6 receptor antagonist","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Autoimmune","S",2017,"ENSG00000160712",NA,NA,NA,NA
"Baxdela","Delafloxacin","DELAFLOXACIN","Melinta Therapeutics","CHEMBL2105637","Fluoroquinolone antibacterial","Acute bacterial skin and skin structure infections","staphylococcal skin infections","EFO_1001849","Infectious","P",2017,"",NA,NA,NA,NA
"Bevyxxa","Betrixaban","BETRIXABAN","Portola Pharmaceuticals","CHEMBL512351","FXa inhibitor","Prophylaxis of venous thromboembolism","venous thromboembolism","EFO_0004286","Cardiovascular","P",2017,"ENSG00000126218",NA,NA,NA,NA
"Tremfya","Guselkumab","GUSELKUMAB","Janssen/Johnson & Johnson","CHEMBL2364648","IL-23 blocker","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","P",2017,"ENSG00000113302; ENSG00000110944",NA,NA,NA,NA
"Nerlynx","Neratinib","NERATINIB","Puma Biotechnology","CHEMBL180022","EGFR, HER2 and HER4 irreversible kinase inhibitor","HER2-overexpressed breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","S",2017,"ENSG00000178568; ENSG00000141736; ENSG00000146648",NA,NA,NA,NA
"Vosevi","Sofosbuvir; velpatasvir; voxilaprevir","SOFOSBUVIR","Gilead Sciences","CHEMBL1259059","Nucleotide analogue NS5B polymerase inhibitor plus an NS5A inhibitor plus an NS3/4A protease inhibitor","HCV","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2017,"; ",NA,NA,NA,NA
"Vosevi","Sofosbuvir; velpatasvir; voxilaprevir","VELPATASVIR","Gilead Sciences","CHEMBL3545062","Nucleotide analogue NS5B polymerase inhibitor plus an NS5A inhibitor plus an NS3/4A protease inhibitor","HCV","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2017,"; ",NA,NA,NA,NA
"Vosevi","Sofosbuvir; velpatasvir; voxilaprevir","VOXILAPREVIR","Gilead Sciences","CHEMBL3707372","Nucleotide analogue NS5B polymerase inhibitor plus an NS5A inhibitor plus an NS3/4A protease inhibitor","HCV","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2017,"",NA,NA,NA,NA
"Idhifa","Enasidenib mesylate","ENASIDENIB MESYLATE","Celgene/Agios","CHEMBL3989931","IDH2 inhibitor","IDH2-mutated AML","acute myeloid leukemia","EFO_0000222","Oncology","P, O",2017,"ENSG00000182054",NA,NA,NA,NA
"Mavyret","Glecaprevir; pibrentasvir","GLECAPREVIR","AbbVie","CHEMBL3545363","NS3/4A protease inhibitor plus a NS5A inhibitor","HCV","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2017,"",NA,NA,NA,NA
"Mavyret","Glecaprevir; pibrentasvir","PIBRENTASVIR","AbbVie","CHEMBL3545123","NS3/4A protease inhibitor plus a NS5A inhibitor","HCV","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2017,"",NA,NA,NA,NA
"Besponsa","Inotuzumab ozogamicin","INOTUZUMAB OZOGAMICIN","Pfizer","CHEMBL2108611","CD22-directed antibody‚Äìdrug conjugate","B cell precursor ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511","Oncology","P, O, B",2017,"ENSG00000012124",NA,"Weakly realted indication (B-cell non-Hodgkin's lymphoma)",NA,NA
"Benznidazole","Benznidazole","BENZNIDAZOLE","Chemo Research","CHEMBL110","Nitroimidazole antimicrobial","Chagas disease","Chagas disease","MONDO_0001444","Infectious","P, O, A",2017,"",NA,NA,NA,NA
"Vabomere","Meropenem; vaborbactam","MEROPENEM","The Medicines Company/Rempex Pharmaceuticals","CHEMBL127","Carbapenem antimicrobial plus a Œ≤-lactamase inhibitor","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Infectious","P",2017,"",NA,NA,NA,NA
"Vabomere","Meropenem; vaborbactam","VABORBACTAM","The Medicines Company/Rempex Pharmaceuticals","CHEMBL3317857","Carbapenem antimicrobial plus a Œ≤-lactamase inhibitor","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Infectious","P",2017,"",NA,NA,NA,NA
